FECHA (YYMMDD);HORA (HHMM);;
140101;0100;0;
140101;0200;0;
140101;0300;0;
140101;0400;0;
140101;0500;2,547;
140101;0600;80,9266;
140101;0700;274,158;
140101;0800;475,033;
140101;0900;661,792;
140101;1000;817,683;
140101;1100;922,25;
140101;1200;969,5;
140101;1300;966;
140101;1400;899,583;
140101;1500;785,308;
140101;1600;622,767;
140101;1700;433,075;
140101;1800;234,183;
140101;1900;57,7306;
140101;2000;0,521667;
140101;2100;0;
140101;2200;0;
140101;2300;0;
140102;0000;0;
140102;0100;0;
140102;0200;0;
140102;0300;0;
140102;0400;0;
140102;0500;1,94667;
140102;0600;59,9482;
140102;0700;276,992;
140102;0800;486,692;
140102;0900;674,05;
140102;1000;829,708;
140102;1100;937,667;
140102;1200;986,833;
140102;1300;984,056;
140102;1400;;
140102;1500;;
140102;1600;;
140102;1700;439,733;
140102;1800;236,233;
140102;1900;57,6533;
140102;2000;0,364833;
140102;2100;0;
140102;2200;0;
140102;2300;0;
140103;0000;0;
140103;0100;0;
140103;0200;0;
140103;0300;0;
140103;0400;0;
140103;0500;2,95767;
140103;0600;92,4116;
140103;0700;294,883;
140103;0800;500,908;
140103;0900;695,532;
140103;1000;850,241;
140103;1100;958,167;
140103;1200;1009,42;
140103;1300;1012;
140103;1400;953,333;
140103;1500;827,717;
140103;1600;643,717;
140103;1700;437,033;
140103;1800;246,358;
140103;1900;58,908;
140103;2000;0,379417;
140103;2100;0;
140103;2200;0;
140103;2300;0;
140104;0000;0;
140104;0100;0;
140104;0200;0;
140104;0300;0;
140104;0400;0;
140104;0500;2,67808;
140104;0600;89,5049;
140104;0700;290,6;
140104;0800;495,342;
140104;0900;687,225;
140104;1000;849,482;
140104;1100;960,167;
140104;1200;1008,67;
140104;1300;997,833;
140104;1400;930,25;
140104;1500;811,183;
140104;1600;642,649;
140104;1700;440,683;
140104;1800;230,783;
140104;1900;51,6083;
140104;2000;0,33775;
140104;2100;0;
140104;2200;0;
140104;2300;0;
140105;0000;0;
