FECHA (YYMMDD);HORA (HHMM);;
140101;0100;15,8475;
140101;0200;14,8017;
140101;0300;13,6917;
140101;0400;12,6692;
140101;0500;11,6308;
140101;0600;12,2292;
140101;0700;14,6442;
140101;0800;16,6892;
140101;0900;18,5675;
140101;1000;20,3342;
140101;1100;22,1967;
140101;1200;24,0158;
140101;1300;25,3992;
140101;1400;26,3033;
140101;1500;26,9708;
140101;1600;27,4417;
140101;1700;27,5433;
140101;1800;26,0158;
140101;1900;23,5617;
140101;2000;21,205;
140101;2100;19,255;
140101;2200;17,865;
140101;2300;16,5533;
140102;0000;15,9917;
140102;0100;16,0392;
140102;0200;15,2575;
140102;0300;14,2525;
140102;0400;13,3475;
140102;0500;12,5717;
140102;0600;12,29;
140102;0700;14,0208;
140102;0800;15,6875;
140102;0900;17,2633;
140102;1000;18,9992;
140102;1100;20,8633;
140102;1200;22,0083;
140102;1300;22,82;
140102;1400;;
140102;1500;;
140102;1600;;
140102;1700;24,8575;
140102;1800;24,3208;
140102;1900;22,5558;
140102;2000;20,6083;
140102;2100;19,4383;
140102;2200;18,1533;
140102;2300;17,0933;
140103;0000;15,7608;
140103;0100;14,6033;
140103;0200;13,335;
140103;0300;12,0992;
140103;0400;10,9858;
140103;0500;10,0958;
140103;0600;9,91249;
140103;0700;11,5658;
140103;0800;14,0783;
140103;0900;16,4867;
140103;1000;18,8833;
140103;1100;20,8908;
140103;1200;23,0183;
140103;1300;25,1817;
140103;1400;26,2133;
140103;1500;27,1342;
140103;1600;27,445;
140103;1700;26,9967;
140103;1800;26,2975;
140103;1900;24,8525;
140103;2000;23,32;
140103;2100;22,3333;
140103;2200;20,9792;
140103;2300;20,0558;
140104;0000;19,3617;
140104;0100;17,995;
140104;0200;16,4308;
140104;0300;14,8725;
140104;0400;12,1442;
140104;0500;11,6542;
140104;0600;12,6875;
140104;0700;15,0892;
140104;0800;17,3642;
140104;0900;19,7933;
140104;1000;22,7642;
140104;1100;25,2625;
140104;1200;27,3617;
140104;1300;28,5333;
140104;1400;30,14;
140104;1500;31,0192;
140104;1600;31,2642;
140104;1700;31,3533;
140104;1800;31,1325;
140104;1900;29,7942;
140104;2000;26,7267;
140104;2100;24,12;
140104;2200;22,4383;
140104;2300;20,9342;
140105;0000;19,5608;
140105;0100;18,9142;
140105;0200;17,9217;
140105;0300;16,7533;
140105;0400;16,9625;
140105;0500;15,8208;
140105;0600;16,9817;
140105;0700;18,1325;
140105;0800;19,61;
140105;0900;21,1167;
140105;1000;22,7225;
140105;1100;23,9867;
140105;1200;24,905;
140105;1300;26,0933;
140105;1400;27,2758;
140105;1500;27,9708;
140105;1600;28,1692;
140105;1700;27,7125;
140105;1800;26,8517;
140105;1900;25,3392;
140105;2000;23,1;
140105;2100;21,515;
140105;2200;19,9183;
140105;2300;18,7225;
140106;0000;17,9667;
140106;0100;17,42;
140106;0200;16,6783;
140106;0300;15,6;
140106;0400;15,1558;
140106;0500;15,0392;
140106;0600;15,7333;
140106;0700;18,4867;
140106;0800;20,4008;
140106;0900;22,4758;
140106;1000;24,6717;
140106;1100;26,5083;
140106;1200;28,0242;
140106;1300;29,5667;
140106;1400;30,56;
140106;1500;31,3367;
140106;1600;31,5292;
140106;1700;31,4033;
140106;1800;30,7192;
140106;1900;29,1433;
140106;2000;27,1625;
140106;2100;25,955;
140106;2200;24,3958;
140106;2300;21,4192;
140107;0000;18,8392;
140107;0100;20,4092;
140107;0200;20,1342;
140107;0300;18,35;
140107;0400;17,1358;
140107;0500;14,5583;
140107;0600;14,6675;
140107;0700;16,9892;
140107;0800;19,1175;
140107;0900;21,1933;
140107;1000;23,8092;
140107;1100;26,2158;
140107;1200;27,88;
140107;1300;29,7958;
140107;1400;30,315;
140107;1500;30,8733;
140107;1600;31,1733;
140107;1700;31,045;
140107;1800;30,2758;
140107;1900;28,4192;
140107;2000;26,34;
140107;2100;24,9433;
140107;2200;23,8608;
140107;2300;21,1375;
140108;0000;18,7392;
140108;0100;18,9283;
140108;0200;19,6933;
140108;0300;15,8217;
140108;0400;13,9517;
140108;0500;12,66;
140108;0600;13,7342;
140108;0700;17,0583;
140108;0800;19,5008;
140108;0900;22,1167;
140108;1000;24,0758;
140108;1100;25,5275;
140108;1200;26,3675;
140108;1300;26,2275;
140108;1400;25,9867;
140108;1500;25,5445;
140108;1600;24,89;
140108;1700;23,4917;
140108;1800;21,9017;
140108;1900;20,4992;
140108;2000;18,87;
140108;2100;17,3525;
140108;2200;16,6925;
140108;2300;16,0225;
140109;0000;15,2;
140109;0100;14,4892;
140109;0200;13,8892;
140109;0300;13,3125;
140109;0400;13,0125;
140109;0500;12,4692;
140109;0600;12,755;
140109;0700;15,2008;
140109;0800;16,6267;
140109;0900;18,6208;
140109;1000;20,6317;
140109;1100;22,5267;
140109;1200;24,0717;
140109;1300;25,5242;
140109;1400;26,4942;
140109;1500;27,3367;
140109;1600;27,7392;
140109;1700;27,6508;
140109;1800;27,0567;
140109;1900;25,4142;
140109;2000;23,4575;
140109;2100;21,3008;
140109;2200;20,5675;
140109;2300;19,1617;
140110;0000;18,54;
140110;0100;17,0708;
140110;0200;15,9525;
140110;0300;14,6917;
140110;0400;13,0025;
140110;0500;11,725;
140110;0600;11,8442;
140110;0700;14,2633;
140110;0800;17,025;
140110;0900;18,9575;
140110;1000;21,2583;
140110;1100;23,4167;
140110;1200;24,9108;
140110;1300;26,8975;
140110;1400;28,2583;
140110;1500;29,0792;
140110;1600;29,3317;
140110;1700;29,1658;
140110;1800;28,6733;
140110;1900;27,1542;
140110;2000;25,1308;
140110;2100;23,9583;
140110;2200;23,1583;
140110;2300;21,8425;
140111;0000;21,0283;
140111;0100;19,4783;
140111;0200;18,6208;
140111;0300;17,4775;
140111;0400;14,8692;
140111;0500;14,1083;
140111;0600;13,9292;
140111;0700;16,6833;
140111;0800;18,8233;
140111;0900;21,5425;
140111;1000;24,615;
140111;1100;26,4508;
140111;1200;28,5908;
140111;1300;30,05;
140111;1400;31,6708;
140111;1500;32,605;
140111;1600;33,5433;
140111;1700;33,2067;
140111;1800;30,7717;
140111;1900;28,495;
140111;2000;25,0433;
140111;2100;22,7608;
140111;2200;20,8083;
140111;2300;18,505;
140112;0000;16,3767;
140112;0100;15,6333;
140112;0200;15,0442;
140112;0300;14,3158;
140112;0400;13,8742;
140112;0500;13,1033;
140112;0600;13,6833;
140112;0700;16,06;
140112;0800;18,0067;
140112;0900;20,755;
140112;1000;23,0792;
140112;1100;25,7692;
140112;1200;27,9;
140112;1300;29,2867;
140112;1400;30,27;
140112;1500;30,44;
140112;1600;29,8108;
140112;1700;27,9167;
140112;1800;26,455;
140112;1900;24,3158;
140112;2000;20,5783;
140112;2100;18,3308;
140112;2200;16,0567;
140112;2300;14,8325;
140113;0000;13,9683;
140113;0100;13,2733;
140113;0200;13,1358;
140113;0300;12,6675;
140113;0400;12,2608;
140113;0500;12,06;
140113;0600;12,29;
140113;0700;12,6933;
140113;0800;13,46;
140113;0900;14,8558;
140113;1000;17,6383;
140113;1100;20,3817;
140113;1200;22,4217;
140113;1300;24,0417;
140113;1400;25,6908;
140113;1500;26,3792;
140113;1600;27,0775;
140113;1700;26,6308;
140113;1800;25,6558;
140113;1900;23,89;
140113;2000;21,7483;
140113;2100;19,8392;
140113;2200;18,5375;
140113;2300;17,7425;
140114;0000;17,2733;
140114;0100;16,8683;
140114;0200;16,0342;
140114;0300;15,2242;
140114;0400;14,805;
140114;0500;14,2533;
140114;0600;14,6375;
140114;0700;16,7608;
140114;0800;19,2183;
140114;0900;21,1642;
140114;1000;23,1333;
140114;1100;24,8058;
140114;1200;26,2375;
140114;1300;27,8183;
140114;1400;29,1375;
140114;1500;29,9108;
140114;1600;30,2233;
140114;1700;30,2083;
140114;1800;30,4817;
140114;1900;29,1383;
140114;2000;26,7842;
140114;2100;24,5617;
140114;2200;23,0483;
