FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0100;29;;;
140101;0200;21;;;
140101;0300;13;;;
140101;0400;9;;;
140101;0500;7;;;
140101;0600;15;;;
140101;0700;7;;;
140101;0800;4;;;
140101;0900;5;;;
140101;1000;4;;;
140101;1100;4;;;
140101;1200;12;;;
140101;1300;26;;;
140101;1400;14;;;
140101;1500;8;;;
140101;1600;12;;;
140101;1700;6;;;
140101;1800;5;;;
140101;1900;4;;;
140101;2000;37;;;
140101;2100;28;;;
140101;2200;14;;;
140101;2300;10;;;
140102;0000;6;;;
140102;0100;18;;;
140102;0200;10;;;
140102;0300;13;;;
140102;0400;6;;;
140102;0500;5;;;
140102;0600;4;;;
140102;0700;10;;;
140102;0800;7;;;
140102;0900;5;;;
140102;1000;8;;;
140102;1100;5;;;
140102;1200;4;;;
140102;1300;4;;;
140102;1400;4;;;
140102;1500;4;;;
140102;1600;4;;;
140102;1700;4;;;
140102;1800;4;;;
140102;1900;16;;;
140102;2000;22;;;
140102;2100;11;;;
140102;2200;5;;;
140102;2300;5;;;
140103;0000;4;;;
140103;0100;4;;;
140103;0200;4;;;
140103;0300;4;;;
140103;0400;4;;;
140103;0500;11;;;
140103;0600;7;;;
140103;0700;6;;;
140103;0800;5;;;
140103;0900;4;;;
140103;1000;8;;;
140103;1100;5;;;
140103;1200;10;;;
140103;1300;5;;;
140103;1400;4;;;
140103;1500;13;;;
140103;1600;15;;;
140103;1700;10;;;
140103;1800;10;;;
140103;1900;5;;;
140103;2000;4;;;
140103;2100;20;;;
140103;2200;48;;;
140103;2300;36;;;
140104;0000;33;;;
140104;0100;16;;;
140104;0200;8;;;
140104;0300;19;;;
140104;0400;37;;;
140104;0500;29;;;
140104;0600;15;;;
140104;0700;10;;;
140104;0800;14;;;
140104;0900;13;;;
140104;1000;8;;;
140104;1100;10;;;
140104;1200;15;;;
140104;1300;9;;;
140104;1400;5;;;
140104;1500;4;;;
140104;1600;4;;;
140104;1700;4;;;
140104;1800;4;;;
140104;1900;4;;;
140104;2000;16;;;
140104;2100;20;;;
140104;2200;29;;;
140104;2300;25;;;
140105;0000;15;;;
140105;0100;12;;;
140105;0200;13;;;
140105;0300;20;;;
140105;0400;12;;;
140105;0500;26;;;
140105;0600;16;;;
140105;0700;26;;;
140105;0800;22;;;
140105;0900;13;;;
140105;1000;13;;;
140105;1100;18;;;
140105;1200;15;;;
140105;1300;18;;;
140105;1400;15;;;
140105;1500;10;;;
140105;1600;5;;;
140105;1700;6;;;
140105;1800;20;;;
140105;1900;18;;;
140105;2000;22;;;
140105;2100;39;;;
140105;2200;50;;;
140105;2300;32;;;
140106;0000;25;;;
140106;0100;28;;;
140106;0200;20;;;
140106;0300;13;;;
140106;0400;29;;;
140106;0500;45;;;
140106;0600;27;;;
140106;0700;18;;;
140106;0800;18;;;
140106;0900;29;;;
140106;1000;44;;;
140106;1100;44;;;
140106;1200;46;;;
140106;1300;116;;;
140106;1400;76;;;
140106;1500;49;;;
140106;1600;42;;;
140106;1700;32;;;
140106;1800;16;;;
140106;1900;13;;;
140106;2000;22;;;
140106;2100;11;;;
140106;2200;9;;;
140106;2300;13;;;
140107;0000;10;;;
140107;0100;22;;;
140107;0200;11;;;
140107;0300;15;;;
140107;0400;9;;;
140107;0500;12;;;
140107;0600;8;;;
140107;0700;7;;;
140107;0800;7;;;
140107;0900;4;;;
140107;1000;17;;;
140107;1100;23;;;
140107;1200;16;;;
140107;1300;16;;;
140107;1400;30;;;
140107;1500;18;;;
140107;1600;25;;;
140107;1700;14;;;
140107;1800;14;;;
140107;1900;8;;;
140107;2000;6;;;
140107;2100;19;;;
140107;2200;18;;;
140107;2300;10;;;
140108;0000;5;;;
140108;0100;19;;;
140108;0200;12;;;
140108;0300;7;;;
140108;0400;10;;;
140108;0500;23;;;
140108;0600;32;;;
140108;0700;17;;;
140108;0800;18;;;
140108;0900;10;;;
140108;1000;12;;;
140108;1100;21;;;
140108;1200;21;;;
140108;1300;22;;;
140108;1400;28;;;
140108;1500;35;;;
140108;1600;36;;;
140108;1700;28;;;
140108;1800;41;;;
140108;1900;58;;;
140108;2000;55;;;
140108;2100;53;;;
140108;2200;41;;;
140108;2300;21;;;
140109;0000;11;;;
140109;0100;13;;;
140109;0200;28;;;
140109;0300;21;;;
140109;0400;38;;;
140109;0500;27;;;
140109;0600;35;;;
140109;0700;40;;;
140109;0800;49;;;
140109;0900;33;;;
140109;1000;29;;;
140109;1100;36;;;
140109;1200;28;;;
140109;1300;41;;;
140109;1400;27;;;
140109;1500;28;;;
140109;1600;23;;;
140109;1700;25;;;
140109;1800;13;;;
140109;1900;29;;;
140109;2000;42;;;
140109;2100;29;;;
140109;2200;40;;;
140109;2300;45;;;
140110;0000;36;;;
140110;0100;19;;;
140110;0200;10;;;
140110;0300;7;;;
140110;0400;6;;;
140110;0500;5;;;
140110;0600;9;;;
140110;0700;31;;;
140110;0800;17;;;
140110;0900;14;;;
140110;1000;26;;;
140110;1100;14;;;
140110;1200;16;;;
140110;1300;28;;;
140110;1400;31;;;
140110;1500;27;;;
140110;1600;23;;;
140110;1700;22;;;
140110;1800;12;;;
140110;1900;8;;;
140110;2000;25;;;
140110;2100;24;;;
140110;2200;13;;;
140110;2300;7;;;
140111;0000;5;;;
140111;0100;5;;;
140111;0200;4;;;
140111;0300;15;;;
140111;0400;14;;;
140111;0500;11;;;
140111;0600;12;;;
140111;0700;12;;;
140111;0800;12;;;
140111;0900;11;;;
140111;1000;13;;;
140111;1100;6;;;
140111;1200;9;;;
140111;1300;4;;;
140111;1400;7;;;
140111;1500;12;;;
140111;1600;8;;;
140111;1700;28;;;
140111;1800;21;;;
140111;1900;20;;;
140111;2000;37;;;
140111;2100;60;;;
140111;2200;51;;;
140111;2300;59;;;
140112;0000;49;;;
140112;0100;25;;;
140112;0200;13;;;
140112;0300;16;;;
140112;0400;8;;;
140112;0500;21;;;
140112;0600;20;;;
140112;0700;28;;;
140112;0800;27;;;
140112;0900;31;;;
140112;1000;46;;;
140112;1100;59;;;
140112;1200;41;;;
140112;1300;22;;;
140112;1400;17;;;
140112;1500;9;;;
140112;1600;8;;;
140112;1700;9;;;
140112;1800;17;;;
140112;1900;43;;;
140112;2000;43;;;
140112;2100;30;;;
140112;2200;16;;;
140112;2300;25;;;
140113;0000;28;;;
