FECHA (YYMMDD);HORA (HHMM);;
140101;0100;46;
140101;0200;56;
140101;0300;66;
140101;0400;71;
140101;0500;71;
140101;0600;64;
140101;0700;54;
140101;0800;46;
140101;0900;39;
140101;1000;39;
140101;1100;35;
140101;1200;31;
140101;1300;31;
140101;1400;29;
140101;1500;27;
140101;1600;26;
140101;1700;26;
140101;1800;30;
140101;1900;41;
140101;2000;47;
140101;2100;51;
140101;2200;50;
140101;2300;50;
140102;0000;48;
140102;0100;48;
140102;0200;55;
140102;0300;61;
140102;0400;68;
140102;0500;72;
140102;0600;73;
140102;0700;66;
140102;0800;54;
140102;0900;45;
140102;1000;44;
140102;1100;41;
140102;1200;39;
140102;1300;37;
140102;1400;36;
140102;1500;33;
140102;1600;31;
140102;1700;29;
140102;1800;28;
140102;1900;29;
140102;2000;31;
140102;2100;35;
140102;2200;39;
140102;2300;42;
140103;0000;44;
140103;0100;47;
140103;0200;51;
140103;0300;54;
140103;0400;58;
140103;0500;60;
140103;0600;56;
140103;0700;50;
140103;0800;46;
140103;0900;41;
140103;1000;36;
140103;1100;32;
140103;1200;31;
140103;1300;26;
140103;1400;20;
140103;1500;14;
140103;1600;14;
140103;1700;8;
140103;1800;10;
140103;1900;16;
140103;2000;24;
140103;2100;29;
140103;2200;32;
140103;2300;36;
140104;0000;40;
140104;0100;42;
140104;0200;42;
140104;0300;46;
140104;0400;52;
140104;0500;56;
140104;0600;54;
140104;0700;41;
140104;0800;34;
140104;0900;29;
140104;1000;26;
140104;1100;25;
140104;1200;22;
140104;1300;20;
140104;1400;20;
140104;1500;18;
140104;1600;16;
140104;1700;19;
140104;1800;21;
140104;1900;26;
140104;2000;33;
140104;2100;34;
140104;2200;34;
140104;2300;37;
140105;0000;37;
140105;0100;51;
140105;0200;57;
140105;0300;56;
140105;0400;59;
140105;0500;68;
140105;0600;59;
140105;0700;44;
140105;0800;38;
140105;0900;40;
140105;1000;37;
140105;1100;35;
140105;1200;34;
140105;1300;34;
140105;1400;34;
140105;1500;34;
140105;1600;36;
140105;1700;36;
140105;1800;38;
140105;1900;43;
140105;2000;46;
140105;2100;48;
140105;2200;49;
140105;2300;51;
140106;0000;58;
140106;0100;61;
140106;0200;69;
140106;0300;69;
140106;0400;71;
140106;0500;73;
140106;0600;73;
140106;0700;59;
140106;0800;51;
140106;0900;44;
140106;1000;39;
140106;1100;37;
140106;1200;34;
140106;1300;31;
140106;1400;31;
140106;1500;28;
140106;1600;23;
140106;1700;17;
140106;1800;12;
140106;1900;15;
140106;2000;23;
140106;2100;27;
140106;2200;26;
140106;2300;29;
140107;0000;32;
