FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160316;0100;;;;
160316;0200;;;;
160316;0300;;;;
160316;0400;;;;
160316;0500;;;;
160316;0600;;;;
160316;0700;;;;
160316;0800;;;;
160316;0900;;;;
160316;1000;;;;
160316;1100;;;;
160316;1200;;;;
160316;1300;;;;
160316;1400;;;;
160316;1500;;;;
160316;1600;;;;
160316;1700;;;;
160316;1800;;;;
160316;1900;;;;
160316;2000;;;;
160316;2100;;;;
160316;2200;;;;
160316;2300;;;;
160317;0000;;;;
160317;0100;;;;
160317;0200;;;;
160317;0300;;;;
160317;0400;;;;
160317;0500;;;;
160317;0600;;;;
160317;0700;;;;
160317;0800;;;;
160317;0900;;;;
160317;1000;;;;
160317;1100;;;;
160317;1200;;;;
160317;1300;;;;
160317;1400;;;;
160317;1500;;;;
160317;1600;;;;
160317;1700;;;;
160317;1800;;;;
160317;1900;;;;
160317;2000;;;;
160317;2100;;;;
160317;2200;;;;
160317;2300;;;;
160318;0000;;;;
160318;0100;;;;
160318;0200;;;;
160318;0300;;;;
160318;0400;;;;
160318;0500;;;;
160318;0600;;;;
160318;0700;;;;
160318;0800;;;;
160318;0900;;;;
160318;1000;;;;
160318;1100;;;;
160318;1200;;;;
160318;1300;;;;
160318;1400;;;;
160318;1500;;;;
160318;1600;;;;
160318;1700;;;;
160318;1800;;;;
160318;1900;;;;
160318;2000;;;;
160318;2100;;;;
160318;2200;;;;
160318;2300;;;;
160319;0000;;;;
160319;0100;;;;
160319;0200;;;;
160319;0300;;;;
160319;0400;;;;
160319;0500;;;;
160319;0600;;;;
160319;0700;;;;
160319;0800;;;;
160319;0900;;;;
160319;1000;;;;
160319;1100;;;;
160319;1200;;;;
160319;1300;;;;
160319;1400;;;;
160319;1500;;;;
160319;1600;;;;
160319;1700;;;;
160319;1800;;;;
160319;1900;;;;
160319;2000;;;;
160319;2100;;;;
160319;2200;;;;
160319;2300;;;;
160320;0000;;;;
160320;0100;;;;
160320;0200;;;;
160320;0300;;;;
160320;0400;;;;
160320;0500;;;;
160320;0600;;;;
160320;0700;;;;
160320;0800;;;;
160320;0900;;;;
160320;1000;;;;
160320;1100;;;;
160320;1200;;;;
160320;1300;;;;
160320;1400;;;;
160320;1500;;;;
160320;1600;;;;
160320;1700;;;;
160320;1800;;;;
160320;1900;;;;
160320;2000;;;;
160320;2100;;;;
160320;2200;;;;
160320;2300;;;;
160321;0000;;;;
160321;0100;;;;
160321;0200;;;;
160321;0300;;;;
160321;0400;;;;
160321;0500;;;;
160321;0600;;;;
160321;0700;;;;
160321;0800;;;;
160321;0900;;;;
160321;1000;;;;
160321;1100;;;;
160321;1200;;;;
160321;1300;;;;
160321;1400;;;;
160321;1500;;;;
160321;1600;;;;
160321;1700;;;;
160321;1800;;;;
160321;1900;;;;
160321;2000;;;;
160321;2100;;;;
160321;2200;;;;
160321;2300;;;;
160322;0000;;;;
160322;0100;;;;
160322;0200;;;;
160322;0300;;;;
160322;0400;;;;
160322;0500;;;;
160322;0600;;;;
160322;0700;;;;
160322;0800;;;;
160322;0900;;;;
160322;1000;;;;
160322;1100;;;;
160322;1200;;;;
160322;1300;;;;
160322;1400;;;;
160322;1500;;;;
160322;1600;;;;
160322;1700;;;;
160322;1800;;;;
160322;1900;;;;
160322;2000;;;;
160322;2100;;;;
160322;2200;;;;
160322;2300;;;;
160323;0000;;;;
160323;0100;;;;
160323;0200;;;;
160323;0300;;;;
160323;0400;;;;
160323;0500;;;;
160323;0600;;;;
160323;0700;;;;
160323;0800;;;;
160323;0900;;;;
160323;1000;;;;
160323;1100;;;;
160323;1200;;;;
160323;1300;;;;
160323;1400;;;;
160323;1500;;;;
160323;1600;15,13;;;
160323;1700;33,5699;;;
160323;1800;43,12;;;
160323;1900;44,87;;;
160323;2000;42,27;;;
160323;2100;34,8;;;
160323;2200;28,03;;;
160323;2300;24,35;;;
160324;0000;19,72;;;
160324;0100;10,44;;;
160324;0200;3,43;;;
160324;0300;1;;;
160324;0400;;;;
160324;0500;1;;;
160324;0600;14,78;;;
160324;0700;20,26;;;
160324;0800;27,37;;;
160324;0900;29,61;;;
160324;1000;43,64;;;
160324;1100;60,5699;;;
160324;1200;69,22;;;
160324;1300;70,72;;;
160324;1400;62,28;;;
160324;1500;54,81;;;
160324;1600;36,8199;;;
160324;1700;23,81;;;
160324;1800;22;;;
160324;1900;19,57;;;
160324;2000;11,34;;;
160324;2100;3,57;;;
160324;2200;;;;
160324;2300;;;;
160325;0000;;;;
160325;0100;;;;
160325;0200;1;;;
160325;0300;18,47;;;
160325;0400;25,88;;;
160325;0500;27,67;;;
160325;0600;25,1;;;
160325;0700;19,68;;;
160325;0800;15,82;;;
160325;0900;16,14;;;
160325;1000;17,56;;;
160325;1100;39,91;;;
160325;1200;64,3899;;;
160325;1300;;;;
160325;1400;68,0698;;;
160325;1500;50,67;;;
160325;1600;37,29;;;
160325;1700;28,13;;;
160325;1800;22,91;;;
160325;1900;23,87;;;
160325;2000;28,77;;;
160325;2100;22,91;;;
160325;2200;21,96;;;
160325;2300;12,61;;;
160326;0000;;;;
160326;0100;;;;
160326;0200;;;;
160326;0300;;;;
160326;0400;;;;
160326;0500;1;;;
160326;0600;13,09;;;
160326;0700;15,28;;;
160326;0800;10,53;;;
160326;0900;11,68;;;
160326;1000;15,34;;;
160326;1100;19,53;;;
160326;1200;32,53;;;
160326;1300;45,52;;;
160326;1400;58,73;;;
160326;1500;58,0367;;;
160326;1600;50,8091;;;
160326;1700;47,3932;;;
160326;1800;41,8867;;;
160326;1900;29,6817;;;
160326;2000;17,2825;;;
160326;2100;6,87442;;;
160326;2200;1;;;
160326;2300;1;;;
160327;0000;;;1;
160327;0100;1,65975;;;
160327;0200;13,4794;;;
160327;0300;20,4025;;;
160327;0400;25,4892;;;
160327;0500;24,4808;;;
160327;0600;25,5833;;;
160327;0700;25,0167;;;
160327;0800;17,3608;;;
160327;0900;13,195;;;
160327;1000;15,28;;;
160327;1100;34,0817;;;
160327;1200;51,7067;;;
160327;1300;58,7758;;;
160327;1400;60,4167;;;
160327;1500;56,285;;;
160327;1600;46,9258;;;
160327;1700;35,9575;;;
160327;1800;29,8508;;;
160327;1900;27,5075;;;
160327;2000;26,7575;;;
160327;2100;14,2983;;;
160327;2200;3,53308;;;
160327;2300;1;;;
160328;0000;;;1;
160328;0100;;;1;
160328;0200;;;1;
160328;0300;;;1;
160328;0400;;;1;
160328;0500;8,87215;;;
160328;0600;17,885;;;
160328;0700;15,3483;;;
160328;0800;11,0259;;;
160328;0900;3,24758;;;
160328;1000;8,66808;;;
160328;1100;18,1058;;;
160328;1200;41,1216;;;
160328;1300;56,925;;;
160328;1400;62,8716;;;
160328;1500;59,1357;;;
160328;1600;47,2375;;;
160328;1700;36,0767;;;
160328;1800;30,0925;;;
160328;1900;24,5117;;;
160328;2000;9,91591;;;
160328;2100;1,02283;;;
160328;2200;1;;;
160328;2300;;;1;
160329;0000;;;1;
160329;0100;;;1;
160329;0200;;;1;
160329;0300;;;1;
160329;0400;11,0737;;;
160329;0500;18,7008;;;
160329;0600;17,2692;;;
160329;0700;17,5008;;;
160329;0800;10,7588;;;
160329;0900;;;1;
160329;1000;;;1;
160329;1100;3,81992;;;
160329;1200;12,256;;;
160329;1300;31,4117;;;
160329;1400;50,93;;;
160329;1500;58,7417;;;
160329;1600;51,1274;;;
160329;1700;37,5649;;;
160329;1800;23,97;;;
160329;1900;1,45;;;
160329;2000;;;1;
160329;2100;;;1;
160329;2200;;;1;
160329;2300;;;1;
160330;0000;;;1;
160330;0100;1,25;;;
160330;0200;9,40999;;;
160330;0300;16,29;;;
160330;0400;17,895;;;
160330;0500;15,1042;;;
160330;0600;11,75;;;
160330;0700;8,47649;;;
160330;0800;3,81158;;;
160330;0900;15,2042;;;
160330;1000;17,7517;;;
160330;1100;23,6167;;;
160330;1200;33,1432;;;
160330;1300;44,03;;;
160330;1400;49,6758;;;
160330;1500;54,9667;;;
160330;1600;53,3517;;;
160330;1700;47,0942;;;
160330;1800;42,0208;;;
160330;1900;24,4033;;;
160330;2000;3,8745;;;
160330;2100;;;1;
160330;2200;;;1;
160330;2300;;;1;
160331;0000;;;1;
160331;0100;;;1;
160331;0200;7,50867;;;
160331;0300;8,59473;;;
160331;0400;4,548;;;
160331;0500;4,26217;;;
160331;0600;2,88275;;;
160331;0700;2,39692;;;
160331;0800;;;1;
160331;0900;34,4249;;;
