FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0100;10,2;;;
140101;0200;10,1;;;
140101;0300;8,80002;;;
140101;0400;5,50001;;;
140101;0500;1;;;
140101;0600;3,2;;;
140101;0700;8,30002;;;
140101;0800;12,5;;;
140101;0900;17,9;;;
140101;1000;23,3;;;
140101;1100;26,4;;;
140101;1200;28,2;;;
140101;1300;29,4;;;
140101;1400;29;;;
140101;1500;27,5;;;
140101;1600;27,8;;;
140101;1700;26,5;;;
140101;1800;17;;;
140101;1900;13,4;;;
140101;2000;11,7;;;
140101;2100;13,3;;;
140101;2200;12,9;;;
140101;2300;13,9;;;
140102;0000;17,2;;;
140102;0100;16,4;;;
140102;0200;13,9;;;
140102;0300;12,1;;;
140102;0400;11,1;;;
140102;0500;10,3;;;
140102;0600;8,50002;;;
140102;0700;9,80002;;;
140102;0800;12,1;;;
140102;0900;16;;;
140102;1000;20,7;;;
140102;1100;23,1;;;
140102;1200;25,5;;;
140102;1300;28,5;;;
140102;1400;28,9;;;
140102;1500;30;;;
140102;1600;31,2;;;
140102;1700;30,7;;;
140102;1800;30,4;;;
140102;1900;29,4;;;
140102;2000;24,2;;;
140102;2100;23,1;;;
140102;2200;21,4;;;
140102;2300;22;;;
140103;0000;21,2;;;
140103;0100;19,2;;;
140103;0200;17,7;;;
140103;0300;14,8;;;
140103;0400;13,2;;;
140103;0500;9,10002;;;
140103;0600;7,00001;;;
140103;0700;8,30002;;;
140103;0800;9,90001;;;
140103;0900;13,4;;;
140103;1000;17,8;;;
140103;1100;24,6;;;
140103;1200;29,3;;;
140103;1300;32,9001;;;
140103;1400;31,8;;;
140103;1500;30,8;;;
140103;1600;31,3;;;
140103;1700;33,3;;;
140103;1800;38,9001;;;
140103;1900;40,5001;;;
140103;2000;29,1;;;
140103;2100;26,4;;;
140103;2200;25,4;;;
140103;2300;23,9;;;
140104;0000;23;;;
140104;0100;21,5;;;
140104;0200;17,4;;;
140104;0300;15,5;;;
140104;0400;13,7;;;
140104;0500;10,4;;;
140104;0600;9,70001;;;
140104;0700;12,1;;;
140104;0800;12,8;;;
140104;0900;16,9;;;
140104;1000;25;;;
140104;1100;31;;;
140104;1200;32,0001;;;
140104;1300;34,3;;;
140104;1400;38,0001;;;
140104;1500;40,1;;;
140104;1600;42,9001;;;
140104;1700;42,5001;;;
140104;1800;42,7001;;;
140104;1900;39,9001;;;
140104;2000;34,9001;;;
140104;2100;24,2;;;
140104;2200;27,6;;;
140104;2300;27,2;;;
140105;0000;24,6;;;
140105;0100;21,2;;;
140105;0200;18,2;;;
140105;0300;11;;;
140105;0400;4,50001;;;
140105;0500;2,90001;;;
140105;0600;6,60001;;;
140105;0700;11,5;;;
140105;0800;18,3;;;
140105;0900;28,9;;;
140105;1000;36,1;;;
140105;1100;40,8;;;
140105;1200;43,6;;;
140105;1300;43,1;;;
140105;1400;39,8;;;
140105;1500;38,1;;;
140105;1600;42,4001;;;
140105;1700;51,7001;;;
140105;1800;47,2001;;;
140105;1900;37,0001;;;
140105;2000;29,7;;;
140105;2100;26,5;;;
140105;2200;23,9;;;
140105;2300;21,1;;;
140106;0000;19,7;;;
140106;0100;13,9;;;
140106;0200;1,8;;;
140106;0300;7,2;;;
140106;0400;13,5;;;
140106;0500;11,8;;;
140106;0600;9,40001;;;
140106;0700;11,9;;;
140106;0800;18;;;
140106;0900;30,7;;;
140106;1000;41,4001;;;
140106;1100;49,5001;;;
140106;1200;55,0001;;;
140106;1300;58,3;;;
140106;1400;55,4001;;;
140106;1500;43,6;;;
140106;1600;36,7001;;;
140106;1700;39,3;;;
140106;1800;36,9001;;;
140106;1900;29,8;;;
140106;2000;23,9;;;
140106;2100;17,1;;;
140106;2200;22,4;;;
140106;2300;16;;;
140107;0000;16,4;;;
140107;0100;20,7;;;
140107;0200;17,2;;;
140107;0300;15,2;;;
140107;0400;11,9;;;
140107;0500;7,40001;;;
140107;0600;6,10001;;;
140107;0700;7,50001;;;
140107;0800;11,6;;;
140107;0900;18,1;;;
140107;1000;28,9;;;
140107;1100;41,1;;;
140107;1200;50,0001;;;
140107;1300;53,5001;;;
140107;1400;41,9001;;;
140107;1500;39,6;;;
140107;1600;37,2001;;;
140107;1700;33,7001;;;
140107;1800;35,4001;;;
140107;1900;36,3;;;
140107;2000;30;;;
140107;2100;28,2;;;
140107;2200;25,4;;;
140107;2300;18,4;;;
140108;0000;16,4;;;
140108;0100;16,6;;;
140108;0200;18,2;;;
140108;0300;14,4;;;
140108;0400;10,7;;;
140108;0500;3,3;;;
140108;0600;5,50001;;;
140108;0700;7,2;;;
140108;0800;11;;;
140108;0900;15,9;;;
140108;1000;24,6;;;
140108;1100;40,2001;;;
140108;1200;47,8;;;
140108;1300;45,4001;;;
140108;1400;42,7001;;;
140108;1500;38,0001;;;
140108;1600;37,4001;;;
140108;1700;34,9001;;;
140108;1800;33,4001;;;
140108;1900;31;;;
140108;2000;27,6;;;
140108;2100;28,5;;;
140108;2200;24,5;;;
140108;2300;21,4;;;
140109;0000;20,9;;;
140109;0100;21,8;;;
140109;0200;22;;;
140109;0300;8,60002;;;
