FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0100;0,2;;;
140101;0200;0,1;;;
140101;0300;0,1;;;
140101;0400;0,1;;;
140101;0500;0,1;;;
140101;0600;0,1;;;
140101;0700;0,1;;;
140101;0800;0,1;;;
140101;0900;0,1;;;
140101;1000;0,1;;;
140101;1100;0,1;;;
140101;1200;0,1;;;
140101;1300;0,1;;;
140101;1400;0,1;;;
140101;1500;0,1;;;
140101;1600;0,1;;;
140101;1700;0,1;;;
140101;1800;0,1;;;
140101;1900;0,1;;;
140101;2000;0,1;;;
140101;2100;0,1;;;
140101;2200;0,1;;;
140101;2300;0,1;;;
140102;0000;0,1;;;
140102;0100;0,1;;;
140102;0200;0,1;;;
140102;0300;0,1;;;
140102;0400;0,1;;;
140102;0500;0,1;;;
140102;0600;0,1;;;
140102;0700;0,1;;;
140102;0800;0,1;;;
140102;0900;0,1;;;
140102;1000;0,1;;;
140102;1100;0,1;;;
140102;1200;0,1;;;
140102;1300;0,1;;;
140102;1400;0,1;;;
140102;1500;0,1;;;
140102;1600;0,1;;;
140102;1700;0,1;;;
140102;1800;0,1;;;
140102;1900;0,1;;;
140102;2000;0,1;;;
140102;2100;0,1;;;
140102;2200;0,1;;;
140102;2300;0,1;;;
140103;0000;0,1;;;
140103;0100;0,1;;;
140103;0200;0,1;;;
140103;0300;0,1;;;
140103;0400;0,1;;;
140103;0500;0,1;;;
140103;0600;0,1;;;
140103;0700;0,2;;;
140103;0800;0,2;;;
140103;0900;0,1;;;
140103;1000;0,1;;;
140103;1100;0,1;;;
140103;1200;0,1;;;
140103;1300;0,1;;;
140103;1400;0,1;;;
140103;1500;0,1;;;
140103;1600;0,1;;;
140103;1700;0,1;;;
140103;1800;0,1;;;
140103;1900;0,1;;;
140103;2000;0,2;;;
140103;2100;0,2;;;
140103;2200;0,400001;;;
140103;2300;0,300001;;;
140104;0000;0,2;;;
140104;0100;0,2;;;
140104;0200;0,1;;;
140104;0300;0,1;;;
140104;0400;0,1;;;
140104;0500;0,2;;;
140104;0600;0,300001;;;
140104;0700;0,2;;;
140104;0800;0,2;;;
140104;0900;0,1;;;
140104;1000;0,1;;;
140104;1100;0,1;;;
140104;1200;0,1;;;
140104;1300;0,1;;;
140104;1400;0,1;;;
140104;1500;0,1;;;
140104;1600;0,1;;;
140104;1700;0,1;;;
140104;1800;0,1;;;
140104;1900;0,2;;;
140104;2000;0,300001;;;
140104;2100;0,400001;;;
140104;2200;0,400001;;;
140104;2300;0,400001;;;
140105;0000;0,300001;;;
140105;0100;0,2;;;
140105;0200;0,300001;;;
140105;0300;0,300001;;;
140105;0400;0,2;;;
140105;0500;0,2;;;
140105;0600;0,300001;;;
140105;0700;0,300001;;;
140105;0800;0,500001;;;
140105;0900;0,300001;;;
140105;1000;0,300001;;;
140105;1100;0,300001;;;
140105;1200;0,300001;;;
140105;1300;0,300001;;;
140105;1400;0,300001;;;
140105;1500;0,300001;;;
140105;1600;0,300001;;;
140105;1700;0,300001;;;
140105;1800;0,300001;;;
140105;1900;0,300001;;;
140105;2000;0,400001;;;
140105;2100;0,400001;;;
140105;2200;0,300001;;;
140105;2300;0,300001;;;
140106;0000;0,300001;;;
140106;0100;0,300001;;;
140106;0200;0,300001;;;
140106;0300;0,300001;;;
140106;0400;0,300001;;;
140106;0500;0,300001;;;
140106;0600;0,300001;;;
140106;0700;0,400001;;;
140106;0800;0,400001;;;
140106;0900;0,300001;;;
140106;1000;;;;
140106;1100;0,1;;;
140106;1200;0,1;;;
140106;1300;0,1;;;
140106;1400;0,1;;;
140106;1500;0,1;;;
140106;1600;0,1;;;
