FECHA (YYMMDD);HORA (HHMM);;
140101;0100;1014;
140101;0200;1014;
140101;0300;1013;
140101;0400;1013;
140101;0500;1013;
140101;0600;1014;
140101;0700;1014;
140101;0800;1014;
140101;0900;1014;
140101;1000;1014;
140101;1100;1013;
140101;1200;1013;
140101;1300;1012;
140101;1400;1012;
140101;1500;1011;
140101;1600;1011;
140101;1700;1010;
140101;1800;1010;
140101;1900;1011;
140101;2000;1011;
140101;2100;1012;
140101;2200;1013;
140101;2300;1013;
140102;0000;1013;
140102;0100;1013;
140102;0200;1012;
140102;0300;1012;
140102;0400;1013;
140102;0500;1014;
140102;0600;1014;
140102;0700;1015;
140102;0800;1014;
140102;0900;1014;
140102;1000;1014;
140102;1100;1013;
140102;1200;1013;
140102;1300;1013;
140102;1400;1012;
140102;1500;1012;
140102;1600;1012;
140102;1700;1012;
140102;1800;1012;
140102;1900;1012;
140102;2000;1013;
140102;2100;1014;
140102;2200;1014;
140102;2300;1014;
140103;0000;1014;
140103;0100;1014;
140103;0200;1014;
140103;0300;1014;
140103;0400;1014;
140103;0500;1014;
140103;0600;1015;
140103;0700;1015;
140103;0800;1015;
140103;0900;1015;
140103;1000;1014;
140103;1100;1014;
140103;1200;1013;
140103;1300;1013;
140103;1400;1013;
140103;1500;1013;
140103;1600;1012;
140103;1700;1012;
140103;1800;1012;
140103;1900;1013;
140103;2000;1013;
140103;2100;1013;
140103;2200;1013;
140103;2300;1012;
140104;0000;1012;
140104;0100;1011;
140104;0200;1010;
140104;0300;1010;
140104;0400;1010;
140104;0500;1010;
140104;0600;1010;
140104;0700;1010;
140104;0800;1010;
140104;0900;1010;
140104;1000;1010;
140104;1100;1010;
140104;1200;1010;
140104;1300;1010;
140104;1400;1010;
140104;1500;1010;
140104;1600;1009;
140104;1700;1009;
140104;1800;1009;
140104;1900;1009;
140104;2000;1009;
140104;2100;1009;
140104;2200;1009;
140104;2300;1009;
140105;0000;1009;
140105;0100;1009;
140105;0200;1009;
140105;0300;1009;
140105;0400;1009;
140105;0500;1010;
140105;0600;1011;
140105;0700;1011;
140105;0800;1012;
140105;0900;1013;
140105;1000;1013;
140105;1100;1012;
140105;1200;1012;
140105;1300;1012;
140105;1400;1011;
140105;1500;1011;
140105;1600;1011;
140105;1700;1010;
140105;1800;1010;
140105;1900;1011;
140105;2000;1011;
140105;2100;1012;
140105;2200;1012;
140105;2300;1012;
140106;0000;1012;
140106;0100;1011;
140106;0200;1011;
140106;0300;1011;
140106;0400;1011;
140106;0500;1011;
140106;0600;1012;
140106;0700;1012;
140106;0800;1012;
140106;0900;1012;
140106;1000;1012;
140106;1100;1012;
140106;1200;1012;
140106;1300;1012;
140106;1400;1012;
140106;1500;1012;
140106;1600;1011;
140106;1700;1011;
140106;1800;1011;
140106;1900;1011;
140106;2000;1011;
140106;2100;1012;
140106;2200;1012;
140106;2300;1012;
140107;0000;1012;
140107;0100;1012;
140107;0200;1011;
140107;0300;1011;
140107;0400;1012;
140107;0500;1012;
