FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
070401;0100;;35,66;;
070401;0200;;50,05;;
070401;0300;;46,5;;
070401;0400;;52,9399;;
070401;0500;;40,3199;;
070401;0600;;28,59;;
070401;0700;;24,45;;
070401;0800;;25,4;;
070401;0900;;11,26;;
070401;1000;;21,85;;
070401;1100;;21,25;;
070401;1200;;25,51;;
070401;1300;;7,767;;
070401;1400;;24,62;;
070401;1500;;26,27;;
070401;1600;;45,83;;
070401;1700;;32,68;;
070401;1800;;48,47;;
070401;1900;;71,49;;
070401;2000;;83,5;;
070401;2100;;45,15;;
070401;2200;;24,69;;
070401;2300;;24,91;;
070402;0000;;23,24;;
070402;0100;;24,67;;
070402;0200;;24,57;;
070402;0300;;41,97;;
070402;0400;;30,03;;
070402;0500;;18,85;;
070402;0600;;23,66;;
070402;0700;;31,23;;
070402;0800;;41,06;;
070402;0900;;48,45;;
070402;1000;;37,83;;
070402;1100;;26,55;;
070402;1200;;58,39;;
070402;1300;;32,78;;
070402;1400;;40,21;;
070402;1500;;41,52;;
070402;1600;;36,4399;;
070402;1700;;41,25;;
070402;1800;;65,6797;;
070402;1900;;94,8999;;
070402;2000;;109,1;;
070402;2100;;78,5;;
070402;2200;;58,02;;
070402;2300;;71,4098;;
070403;0000;;60,7;;
070403;0100;;48,97;;
070403;0200;;36,83;;
070403;0300;;33,27;;
070403;0400;;35,1899;;
070403;0500;;38,3799;;
070403;0600;;41,81;;
070403;0700;;58,12;;
070403;0800;;47,91;;
070403;0900;;53,46;;
070403;1000;;48,84;;
070403;1100;;40,09;;
070403;1200;;58,24;;
070403;1300;;56,59;;
070403;1400;;59,6;;
070403;1500;;21,37;;
070403;1600;;61,43;;
070403;1700;;54,28;;
070403;1800;;65,3197;;
070403;1900;;90,7997;;
070403;2000;;110,5;;
070403;2100;;89,1;;
070403;2200;;79,9397;;
070403;2300;;66,3197;;
070404;0000;;52;;
070404;0100;;38,53;;
070404;0200;;34,67;;
070404;0300;;37,62;;
070404;0400;;36,43;;
070404;0500;;34,22;;
070404;0600;;24,93;;
070404;0700;;23,35;;
070404;0800;;27,5;;
070404;0900;;23,03;;
070404;1000;;35;;
070404;1100;;33,9399;;
070404;1200;;36,12;;
070404;1300;;40,12;;
070404;1400;;37,89;;
070404;1500;;39,5699;;
070404;1600;;44,17;;
070404;1700;;43,9;;
070404;1800;;73,4198;;
070404;1900;;89,2;;
070404;2000;;66,4397;;
070404;2100;;62,59;;
070404;2200;;73,4098;;
070404;2300;;91;;
070405;0000;;64,2;;
070405;0100;;54,78;;
070405;0200;;48,52;;
070405;0300;;41,79;;
070405;0400;;39,37;;
070405;0500;;30,87;;
070405;0600;;33,39;;
070405;0700;;46,61;;
070405;0800;;46,68;;
070405;0900;;39,3;;
070405;1000;;37,67;;
070405;1100;;34,68;;
070405;1200;;38,33;;
070405;1300;;56,6;;
070405;1400;;26,5;;
070405;1500;;30,86;;
070405;1600;;31,75;;
070405;1700;;37,98;;
070405;1800;;66,4098;;
070405;1900;;90,8999;;
070405;2000;;70,6499;;
070405;2100;;78,84;;
070405;2200;;104,4;;
070405;2300;;59,12;;
070406;0000;;39,81;;
070406;0100;;43,33;;
070406;0200;;38,91;;
070406;0300;;24,94;;
070406;0400;;27,11;;
070406;0500;;29,59;;
070406;0600;;27,37;;
070406;0700;;22,35;;
070406;0800;;28,48;;
070406;0900;;27,4;;
070406;1000;;21,93;;
070406;1100;;24,01;;
070406;1200;;19,86;;
070406;1300;;19,81;;
070406;1400;;25,11;;
070406;1500;;26,85;;
070406;1600;;36,18;;
070406;1700;;27,73;;
070406;1800;;60,28;;
070406;1900;;64,5497;;
070406;2000;;58,25;;
070406;2100;;63,09;;
070406;2200;;57,96;;
070406;2300;;61,96;;
070407;0000;;44,15;;
070407;0100;;35,81;;
070407;0200;;23,34;;
070407;0300;;29,34;;
070407;0400;;25,05;;
070407;0500;;25,32;;
070407;0600;;23,62;;
070407;0700;;24,48;;
070407;0800;;18,6;;
070407;0900;;29,83;;
070407;1000;;33;;
070407;1100;;33,55;;
070407;1200;;29,49;;
070407;1300;;29,02;;
070407;1400;;19,39;;
070407;1500;;27;;
070407;1600;;30,27;;
070407;1700;;37,05;;
070407;1800;;49,67;;
070407;1900;;59,72;;
070407;2000;;54,3799;;
070407;2100;;57,73;;
070407;2200;;43,23;;
070407;2300;;31,85;;
070408;0000;;38,8799;;
070408;0100;;35,9;;
070408;0200;;37,09;;
070408;0300;;27,99;;
070408;0400;;36,49;;
070408;0500;;30,03;;
070408;0600;;29,77;;
070408;0700;;28,25;;
070408;0800;;19,59;;
070408;0900;;28,04;;
070408;1000;;35,79;;
070408;1100;;38,1899;;
070408;1200;;37,77;;
070408;1300;;40,89;;
070408;1400;;35,1;;
070408;1500;;30,58;;
070408;1600;;37,09;;
070408;1700;;35,41;;
070408;1800;;52,91;;
070408;1900;;58,11;;
070408;2000;;63,59;;
070408;2100;;62,98;;
070408;2200;;76,09;;
070408;2300;;72,6797;;
070409;0000;;42,1299;;
070409;0100;;32,16;;
070409;0200;;26,12;;
070409;0300;;21,04;;
070409;0400;;24,84;;
070409;0500;;19,2;;
070409;0600;;15,72;;
070409;0700;;25,5;;
070409;0800;;34,3;;
070409;0900;;29,36;;
070409;1000;;27,01;;
070409;1100;;37,8799;;
070409;1200;;34,97;;
070409;1300;;38,8;;
070409;1400;;38,71;;
070409;1500;;43,12;;
070409;1600;;43,5099;;
070409;1700;;57,0699;;
070409;1800;;78,6698;;
070409;1900;;113,5;;
070409;2000;;143,5;;
070409;2100;;125,3;;
070409;2200;;123,5;;
070409;2300;;112,2;;
070410;0000;;70,8197;;
070410;0100;;43,08;;
070410;0200;;58,27;;
070410;0300;;56,77;;
070410;0400;;41,3;;
070410;0500;;24,72;;
070410;0600;;25,84;;
070410;0700;;59,47;;
070410;0800;;65,6;;
070410;0900;;62,2599;;
070410;1000;;53,73;;
