FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
070401;0100;;5,717;;
070401;0200;;1,799;;
070401;0300;;9,31998;;
070401;0400;;17,16;;
070401;0500;;16,63;;
070401;0600;;15,73;;
070401;0700;;15,75;;
070401;0800;;13,13;;
070401;0900;;11,88;;
070401;1000;;12,96;;
070401;1100;;18,48;;
070401;1200;;19,57;;
070401;1300;;25,5;;
070401;1400;;29,83;;
070401;1500;;32,12;;
070401;1600;;31,62;;
070401;1700;;29,55;;
070401;1800;;17,87;;
070401;1900;;2,013;;
070401;2000;;2,202;;
070401;2100;;6,334;;
070401;2200;;14,87;;
070401;2300;;12,68;;
070402;0000;;12,94;;
070402;0100;;3,312;;
070402;0200;;2,145;;
070402;0300;;6,824;;
070402;0400;;2,102;;
070402;0500;;1,647;;
070402;0600;;0,473;;
070402;0700;;0,665;;
070402;0800;;0,926995;;
070402;0900;;4,33099;;
070402;1000;;13,21;;
070402;1100;;18,76;;
070402;1200;;20,87;;
070402;1300;;21,49;;
070402;1400;;27,11;;
070402;1500;;29,78;;
070402;1600;;31,9;;
070402;1700;;27,72;;
070402;1800;;9,23999;;
070402;1900;;1,689;;
070402;2000;;1,759;;
070402;2100;;1,91;;
070402;2200;;1,738;;
070402;2300;;2,988;;
070403;0000;;3,759;;
070403;0100;;5,619;;
070403;0200;;4,722;;
070403;0300;;6,479;;
070403;0400;;8,45998;;
070403;0500;;5,283;;
070403;0600;;3,601;;
070403;0700;;1,423;;
070403;0800;;4,407;;
070403;0900;;6,613;;
070403;1000;;10,31;;
070403;1100;;15,9;;
070403;1200;;18,32;;
070403;1300;;22,29;;
070403;1400;;29,41;;
070403;1500;;32,86;;
070403;1600;;35,71;;
070403;1700;;30,04;;
070403;1800;;9,89;;
070403;1900;;1,562;;
070403;2000;;1,457;;
070403;2100;;1,338;;
070403;2200;;0,943;;
070403;2300;;1,319;;
070404;0000;;2,371;;
070404;0100;;0,917;;
070404;0200;;0,568995;;
070404;0300;;0,676;;
070404;0400;;0,759;;
070404;0500;;1,607;;
070404;0600;;2,134;;
070404;0700;;1,126;;
070404;0800;;2,974;;
070404;0900;;4,431;;
070404;1000;;8,56998;;
070404;1100;;13,19;;
070404;1200;;21,25;;
070404;1300;;29,02;;
070404;1400;;31,78;;
070404;1500;;35,98;;
070404;1600;;38,15;;
070404;1700;;34,2;;
070404;1800;;19,9;;
070404;1900;;12,59;;
070404;2000;;12,65;;
070404;2100;;10,2;;
070404;2200;;1,572;;
070404;2300;;1,362;;
070405;0000;;1,254;;
070405;0100;;2,116;;
070405;0200;;2,066;;
070405;0300;;6,458;;
070405;0400;;7,939;;
070405;0500;;6,919;;
070405;0600;;2,715;;
070405;0700;;0,743999;;
070405;0800;;2,048;;
070405;0900;;4,142;;
070405;1000;;10,34;;
070405;1100;;13,54;;
070405;1200;;16,08;;
070405;1300;;18,87;;
070405;1400;;25,36;;
070405;1500;;29,68;;
070405;1600;;29,7;;
070405;1700;;25,53;;
070405;1800;;14,64;;
070405;1900;;10,42;;
070405;2000;;5,723;;
070405;2100;;1,771;;
070405;2200;;1,57;;
070405;2300;;7,98299;;
070406;0000;;5,976;;
070406;0100;;3,42;;
070406;0200;;9,48999;;
070406;0300;;10,39;;
070406;0400;;7,84299;;
070406;0500;;1,939;;
070406;0600;;9,20998;;
070406;0700;;9;;
070406;0800;;8,20998;;
070406;0900;;8,12;;
070406;1000;;10,38;;
070406;1100;;12,92;;
070406;1200;;14,34;;
070406;1300;;20,51;;
070406;1400;;27,8;;
070406;1500;;26,32;;
070406;1600;;28,22;;
070406;1700;;28,97;;
070406;1800;;24,92;;
070406;1900;;15,42;;
070406;2000;;14,45;;
070406;2100;;5,994;;
070406;2200;;2,439;;
070406;2300;;2,079;;
070407;0000;;1,983;;
070407;0100;;8,09;;
070407;0200;;12,32;;
070407;0300;;12,76;;
070407;0400;;10,02;;
070407;0500;;9,90999;;
070407;0600;;6,06599;;
070407;0700;;5,086;;
070407;0800;;6,119;;
070407;0900;;8,28998;;
070407;1000;;9,59;;
070407;1100;;13,42;;
070407;1200;;16,24;;
070407;1300;;23,22;;
070407;1400;;24,55;;
070407;1500;;25,14;;
070407;1600;;22,84;;
070407;1700;;20,24;;
070407;1800;;16,11;;
070407;1900;;6,544;;
070407;2000;;4,40099;;
070407;2100;;1,842;;
070407;2200;;6,27599;;
070407;2300;;11,84;;
070408;0000;;11,96;;
070408;0100;;12,94;;
070408;0200;;12,63;;
070408;0300;;11,43;;
070408;0400;;9,25;;
070408;0500;;7,753;;
070408;0600;;5,877;;
070408;0700;;6,727;;
070408;0800;;8,81998;;
070408;0900;;11,93;;
070408;1000;;13,65;;
070408;1100;;18,16;;
070408;1200;;23,31;;
070408;1300;;26,59;;
070408;1400;;30,2;;
070408;1500;;30,82;;
070408;1600;;29,63;;
070408;1700;;22,59;;
070408;1800;;14,25;;
070408;1900;;2,77;;
070408;2000;;6,62;;
070408;2100;;1,82;;
070408;2200;;1,311;;
070408;2300;;4,836;;
070409;0000;;13,24;;
070409;0100;;11,85;;
070409;0200;;10;;
070409;0300;;7,378;;
070409;0400;;11,47;;
070409;0500;;10,76;;
070409;0600;;6,834;;
070409;0700;;4,17899;;
070409;0800;;8,2;;
070409;0900;;10,93;;
070409;1000;;10,35;;
070409;1100;;11,45;;
070409;1200;;12,91;;
070409;1300;;12,7;;
070409;1400;;14,07;;
070409;1500;;15,36;;
070409;1600;;13,69;;
070409;1700;;8,73;;
070409;1800;;3,141;;
070409;1900;;2,587;;
070409;2000;;2,529;;
070409;2100;;3,467;;
070409;2200;;2,166;;
070409;2300;;2,45;;
070410;0000;;2,522;;
070410;0100;;1,44;;
070410;0200;;1,603;;
070410;0300;;0,686;;
070410;0400;;0,487;;
070410;0500;;0,45;;
070410;0600;;0,577;;
070410;0700;;1,377;;
070410;0800;;1,099;;
070410;0900;;2,288;;
070410;1000;;11,57;;
070410;1100;;15,77;;
070410;1200;;21,23;;
070410;1300;;27,08;;
070410;1400;;28,38;;
070410;1500;;28,31;;
070410;1600;;27,13;;
070410;1700;;17,12;;
070410;1800;;13,41;;
070410;1900;;13,43;;
070410;2000;;12,96;;
070410;2100;;11,95;;
070410;2200;;12,6;;
070410;2300;;14,18;;
070411;0000;;13,63;;
070411;0100;;15,69;;
070411;0200;;14,87;;
070411;0300;;14,04;;
070411;0400;;10,63;;
070411;0500;;3,247;;
070411;0600;;1,063;;
070411;0700;;1,994;;
070411;0800;;5,38599;;
070411;0900;;11,96;;
070411;1000;;15,15;;
070411;1100;;15,48;;
070411;1200;;14,33;;
070411;1300;;15,38;;
070411;1400;;17,5;;
070411;1500;;;;
070411;1600;;;;
070411;1700;;23,23;;
070411;1800;;5,655;;
070411;1900;;3,191;;
070411;2000;;2,486;;
070411;2100;;0,697;;
070411;2200;;0,978995;;
070411;2300;;0,491;;
070412;0000;;0,884;;
070412;0100;;0,641;;
070412;0200;;2,219;;
070412;0300;;5,742;;
070412;0400;;5,632;;
070412;0500;;3,857;;
070412;0600;;2,086;;
070412;0700;;3,248;;
070412;0800;;7,05399;;
070412;0900;;9,78998;;
070412;1000;;11,76;;
070412;1100;;13,26;;
070412;1200;;18,27;;
070412;1300;;22,27;;
070412;1400;;24,61;;
070412;1500;;28,25;;
070412;1600;;25,59;;
070412;1700;;16,14;;
070412;1800;;13,18;;
070412;1900;;1,973;;
070412;2000;;2,559;;
070412;2100;;2,306;;
070412;2200;;3,018;;
070412;2300;;3,282;;
070413;0000;;5,893;;
070413;0100;;2,337;;
070413;0200;;0,971;;
070413;0300;;1,162;;
070413;0400;;0,447;;
070413;0500;;1,104;;
070413;0600;;0,780995;;
070413;0700;;0,785995;;
070413;0800;;3,625;;
070413;0900;;5,69299;;
070413;1000;;18,17;;
070413;1100;;26,05;;
070413;1200;;35,45;;
070413;1300;;42,66;;
070413;1400;;45,29;;
