FECHA (YYMMDD);HORA (HHMM);;
070331;0100;;
070331;0200;;
070331;0300;;
070331;0400;;
070331;0500;;
070331;0600;;
070331;0700;;
070331;0800;;
070331;0900;;
070331;1000;;
070331;1100;;
070331;1200;;
070331;1300;;
070331;1400;;
070331;1500;;
070331;1600;;
070331;1700;;
070331;1800;;
070331;1900;;
070331;2000;;
070331;2100;;
070331;2200;;
070331;2300;;
070401;0000;0,820998;
070401;0100;0,435;
070401;0200;0,475;
070401;0300;0,667998;
070401;0400;1,021;
070401;0500;1,386;
070401;0600;1,275;
070401;0700;1,071;
070401;0800;0,884;
070401;0900;0,898;
070401;1000;1,135;
070401;1100;0,990998;
070401;1200;0,879;
070401;1300;0,684999;
070401;1400;1,499;
070401;1500;1,419;
070401;1600;1,501;
070401;1700;1,156;
070401;1800;0,877;
070401;1900;0,773998;
070401;2000;0,700998;
070401;2100;1,174;
070401;2200;1,118;
070401;2300;1,793;
070402;0000;1,452;
070402;0100;0,771998;
070402;0200;0,556;
070402;0300;0,799998;
070402;0400;0,683;
070402;0500;0,537;
070402;0600;0,606998;
070402;0700;0,491;
070402;0800;0,516;
070402;0900;0,667;
070402;1000;0,889;
070402;1100;0,860998;
070402;1200;1,159;
070402;1300;1,396;
070402;1400;1,717;
070402;1500;1,854;
070402;1600;1,929;
070402;1700;1,333;
070402;1800;1,656;
070402;1900;1,103;
070402;2000;0,735998;
070402;2100;1,008;
070402;2200;1,366;
070402;2300;1,656;
070403;0000;1,764;
070403;0100;1,941;
070403;0200;1,629;
070403;0300;1,847;
070403;0400;1,822;
070403;0500;1,555;
070403;0600;1,347;
070403;0700;1,236;
070403;0800;0,62;
070403;0900;1,342;
070403;1000;1,634;
070403;1100;1,313;
070403;1200;1,118;
070403;1300;1,044;
070403;1400;1,008;
070403;1500;1,528;
070403;1600;1,655;
070403;1700;1,934;
070403;1800;1,608;
070403;1900;0,912998;
070403;2000;0,589;
070403;2100;1,068;
070403;2200;0,761998;
070403;2300;0,655;
070404;0000;0,724998;
070404;0100;1,087;
070404;0200;1,005;
070404;0300;0,526999;
070404;0400;0,461;
070404;0500;0,464;
070404;0600;0,684999;
070404;0700;0,438;
070404;0800;0,479;
070404;0900;0,731;
070404;1000;0,662;
070404;1100;1,403;
070404;1200;2,008;
070404;1300;1,935;
070404;1400;3,021;
070404;1500;2,782;
070404;1600;2,413;
070404;1700;2,19;
070404;1800;2,141;
070404;1900;1,569;
070404;2000;1,299;
070404;2100;1,513;
070404;2200;1,325;
070404;2300;0,743999;
070405;0000;0,756;
070405;0100;1,107;
070405;0200;1,11;
070405;0300;1,381;
070405;0400;0,681;
070405;0500;0,995;
070405;0600;0,882;
070405;0700;0,865998;
070405;0800;0,719998;
070405;0900;0,79;
070405;1000;0,924998;
070405;1100;0,933;
070405;1200;0,802999;
070405;1300;0,691;
070405;1400;1,514;
070405;1500;2,338;
070405;1600;2,024;
070405;1700;1,818;
070405;1800;1,868;
070405;1900;1,424;
070405;2000;1,374;
070405;2100;0,738;
070405;2200;0,733;
070405;2300;0,912;
070406;0000;1,782;
070406;0100;1,065;
070406;0200;0,896;
070406;0300;1,555;
070406;0400;1,53;
070406;0500;1,104;
070406;0600;0,818;
070406;0700;0,785998;
070406;0800;1,344;
070406;0900;1,231;
070406;1000;0,759998;
070406;1100;0,921;
070406;1200;1,428;
070406;1300;1,344;
070406;1400;1,574;
070406;1500;1,876;
070406;1600;1,955;
070406;1700;2,498;
070406;1800;2,461;
070406;1900;2,158;
070406;2000;1,403;
070406;2100;1,378;
070406;2200;0,976;
070406;2300;0,726998;
070407;0000;0,669;
070407;0100;0,867998;
070407;0200;0,938998;
070407;0300;2,037;
070407;0400;1,737;
070407;0500;1,632;
070407;0600;1,478;
070407;0700;1,463;
070407;0800;2,11;
070407;0900;2,261;
070407;1000;2,57;
070407;1100;2,904;
070407;1200;2,511;
070407;1300;2,273;
070407;1400;2,394;
070407;1500;2,56;
070407;1600;2,654;
070407;1700;2,509;
070407;1800;2,575;
070407;1900;1,766;
070407;2000;1,319;
070407;2100;1,429;
070407;2200;1,281;
070407;2300;1,595;
070408;0000;2,296;
070408;0100;2,607;
070408;0200;2,515;
070408;0300;2,323;
070408;0400;2,661;
070408;0500;2,47;
070408;0600;2,352;
070408;0700;2,477;
070408;0800;2,544;
070408;0900;2,34;
070408;1000;2,155;
070408;1100;2,079;
070408;1200;1,67;
070408;1300;1,565;
070408;1400;2,332;
070408;1500;1,795;
070408;1600;2,135;
070408;1700;1,922;
070408;1800;2,161;
070408;1900;1,707;
070408;2000;1,001;
070408;2100;2,182;
070408;2200;1,039;
070408;2300;0,639998;
070409;0000;0,759;
070409;0100;1,192;
070409;0200;0,877998;
070409;0300;0,516;
070409;0400;0,863998;
070409;0500;1,386;
070409;0600;1,082;
070409;0700;0,526999;
070409;0800;1,337;
070409;0900;1,347;
070409;1000;1,009;
070409;1100;0,683;
070409;1200;1,2;
070409;1300;0,846998;
070409;1400;1,931;
070409;1500;1,895;
070409;1600;1,643;
070409;1700;0,988998;
070409;1800;1,154;
070409;1900;1,036;
070409;2000;0,662998;
070409;2100;0,822;
070409;2200;0,719998;
070409;2300;0,726;
070410;0000;0,955;
070410;0100;1,034;
070410;0200;0,523;
070410;0300;0,797;
070410;0400;0,77;
070410;0500;1,094;
070410;0600;0,665;
070410;0700;0,756;
070410;0800;0,496;
070410;0900;0,435;
070410;1000;0,452;
070410;1100;1,034;
070410;1200;1,332;
070410;1300;1,472;
070410;1400;1,506;
070410;1500;1,526;
070410;1600;1,665;
070410;1700;1,718;
070410;1800;2,093;
